epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,459.116,0.9005,1.4839,0.96868,0.82736,0.10807,0.1397,0.09929,0.83893,1.44428,0.99724,0.00996337,0.00996337,0.00996337
39,499.183,0.87144,1.38356,0.97323,0.80252,0.1419,0.1737,0.1247,0.84082,1.44758,0.99171,0.00996238,0.00996238,0.00996238
40,538.29,0.91621,1.41468,0.96838,0.81555,0.12975,0.16977,0.12443,0.78251,1.43951,0.96408,0.00996139,0.00996139,0.00996139
41,573.99,0.89814,1.38196,0.96262,0.84339,0.12446,0.16892,0.12577,0.86357,1.54191,0.98007,0.0099604,0.0099604,0.0099604
42,616.826,0.88018,1.2778,0.96295,0.83924,0.15332,0.20967,0.15804,0.79344,1.39104,0.97005,0.00995941,0.00995941,0.00995941
43,658.759,0.8237,1.23251,0.95909,0.7749,0.1583,0.19664,0.14901,0.78919,1.38675,0.97358,0.00995842,0.00995842,0.00995842
44,700.301,0.84262,1.19854,0.95457,0.8087,0.13924,0.18165,0.13221,0.78166,1.4351,0.95673,0.00995743,0.00995743,0.00995743
45,744.325,0.83876,1.16242,0.94218,0.77167,0.16859,0.21262,0.1576,0.81537,1.25166,0.96945,0.00995644,0.00995644,0.00995644
46,789.773,0.86226,1.19656,0.9333,0.73593,0.18277,0.22852,0.17075,0.7783,1.24151,0.96542,0.00995545,0.00995545,0.00995545
47,829.395,0.81888,1.15828,0.94465,0.71837,0.17817,0.21895,0.16163,0.76982,1.24269,0.96153,0.00995446,0.00995446,0.00995446
48,866.809,0.82907,1.25656,0.93854,0.88631,0.13105,0.20171,0.15343,0.75976,1.24328,0.95601,0.00995347,0.00995347,0.00995347
49,908.149,0.82828,1.19731,0.96282,0.82385,0.17924,0.23924,0.18301,0.80834,1.2499,0.98647,0.00995248,0.00995248,0.00995248
50,944.077,0.79189,1.05212,0.92739,0.7562,0.19027,0.24488,0.18089,0.75313,1.20785,0.94532,0.00995149,0.00995149,0.00995149
51,981.629,0.84705,1.18167,0.96354,0.78136,0.16929,0.21178,0.15748,0.74092,1.20644,0.95608,0.0099505,0.0099505,0.0099505
52,1020.62,0.79569,1.17835,0.95562,0.84528,0.17403,0.25138,0.18447,0.7084,1.2662,0.93393,0.00994951,0.00994951,0.00994951
53,1074.53,0.77673,1.15667,0.94717,0.58214,0.24502,0.28174,0.20354,0.82332,1.20456,0.99056,0.00994852,0.00994852,0.00994852
54,1120.83,0.8281,1.04231,0.9427,0.59537,0.27038,0.3044,0.21972,0.7623,1.29332,0.96017,0.00994753,0.00994753,0.00994753
55,1169.86,0.8333,1.2381,0.96867,0.76183,0.23845,0.30844,0.23188,0.72728,1.1954,0.9503,0.00994654,0.00994654,0.00994654
56,1228.95,0.80855,1.18469,0.95313,0.73744,0.25978,0.33554,0.25173,0.76317,1.14678,0.95788,0.00994555,0.00994555,0.00994555
57,1292.01,0.80445,1.09861,0.9397,0.66069,0.31681,0.36302,0.28184,0.71968,1.18394,0.94519,0.00994456,0.00994456,0.00994456
58,1349.74,0.80834,1.13675,0.94608,0.68444,0.29752,0.34496,0.26294,0.76259,1.22288,0.959,0.00994357,0.00994357,0.00994357
59,1410.87,0.77524,1.03759,0.93425,0.67982,0.30743,0.35633,0.27046,0.77321,1.32928,0.96268,0.00994258,0.00994258,0.00994258
60,1470.01,0.8185,1.13834,0.93938,0.6339,0.29934,0.37708,0.28287,0.75797,1.25095,0.9482,0.00994159,0.00994159,0.00994159
61,1541.06,0.81551,1.0551,0.94543,0.79629,0.30261,0.37813,0.29095,0.72174,1.13079,0.94118,0.0099406,0.0099406,0.0099406
62,1611.2,0.81277,1.11003,0.94714,0.71734,0.3873,0.45067,0.33718,0.73451,1.10792,0.94789,0.00993961,0.00993961,0.00993961
63,1681.28,0.80663,1.095,0.94243,0.69915,0.35025,0.398,0.30501,0.71282,1.09639,0.94355,0.00993862,0.00993862,0.00993862
64,1747.69,0.775,1.11286,0.94133,0.70584,0.42795,0.43757,0.33163,0.73079,1.10643,0.95289,0.00993763,0.00993763,0.00993763
65,1814.03,0.79282,1.00317,0.9284,0.732,0.36377,0.39811,0.29909,0.759,1.09312,0.94028,0.00993664,0.00993664,0.00993664
66,1884.11,0.80971,1.10582,0.94068,0.67355,0.39056,0.41076,0.30737,0.77005,1.10303,0.93747,0.00993565,0.00993565,0.00993565
67,1956.12,0.7797,1.01076,0.93053,0.6561,0.45628,0.48603,0.3787,0.70792,1.08501,0.92265,0.00993466,0.00993466,0.00993466
68,2029.73,0.75481,1.16292,0.92373,0.68536,0.46142,0.51377,0.39622,0.69402,1.05329,0.92019,0.00993367,0.00993367,0.00993367
69,2104.61,0.74955,1.05003,0.9222,0.70311,0.44881,0.49088,0.37458,0.68991,1.14365,0.92123,0.00993268,0.00993268,0.00993268
70,2176.46,0.77658,1.02104,0.94592,0.7509,0.40797,0.46812,0.36006,0.73691,1.01157,0.95779,0.00993169,0.00993169,0.00993169
71,2253.32,0.77848,0.9889,0.92639,0.69968,0.22845,0.30042,0.22401,0.73994,1.05886,0.94152,0.0099307,0.0099307,0.0099307
72,2328.03,0.78154,1.04893,0.92198,0.72525,0.37639,0.41828,0.3229,0.70395,1.06365,0.93319,0.00992971,0.00992971,0.00992971
73,2398.31,0.75656,0.93378,0.91486,0.85022,0.25171,0.34769,0.25739,0.68536,1.11041,0.9288,0.00992872,0.00992872,0.00992872
69,72.4045,0.78936,1.18736,0.94524,0.79032,0.36015,0.43324,0.32695,0.71826,1.04559,0.93266,0.00993268,0.00993268,0.00993268
