epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,1126.58,0.8901,1.53283,0.97434,0.68637,0.10604,0.11741,0.08641,0.84036,1.51477,0.99149,0.0099703,0.0099703,0.0099703
32,1197.99,0.86209,1.43375,0.98278,0.74358,0.12523,0.15182,0.119,0.75035,1.34683,0.95617,0.00996931,0.00996931,0.00996931
33,1265.72,0.8908,1.43548,0.98361,0.67502,0.11516,0.14953,0.1093,0.8158,1.43505,0.98314,0.00996832,0.00996832,0.00996832
34,1340.06,0.88149,1.40443,0.95624,0.78193,0.13437,0.1722,0.12645,0.77284,1.27836,0.95234,0.00996733,0.00996733,0.00996733
35,1417.57,0.85915,1.38017,0.97759,0.81131,0.13527,0.17099,0.13104,0.75864,1.28749,0.95165,0.00996634,0.00996634,0.00996634
36,1498.17,0.86125,1.37649,0.97652,0.72016,0.19355,0.21365,0.15681,0.77232,1.34444,0.94526,0.00996535,0.00996535,0.00996535
37,1583.42,0.83885,1.31496,0.97954,0.6483,0.17683,0.19734,0.14505,0.74908,1.26018,0.95006,0.00996436,0.00996436,0.00996436
38,1669.43,0.8262,1.26319,0.94659,0.76989,0.17708,0.24025,0.17917,0.76214,1.34767,0.95434,0.00996337,0.00996337,0.00996337
39,1756.78,0.88434,1.38166,0.96811,0.80323,0.16938,0.22374,0.1702,0.75319,1.31412,0.94699,0.00996238,0.00996238,0.00996238
40,1858.87,0.85034,1.34292,0.97085,0.71392,0.2708,0.31524,0.23265,0.73249,1.24884,0.95853,0.00996139,0.00996139,0.00996139
41,1960.2,0.82117,1.20684,0.9647,0.77741,0.22014,0.26686,0.19696,0.73618,1.23065,0.94521,0.0099604,0.0099604,0.0099604
42,2034.57,0.82363,1.24233,0.94872,0.78206,0.16656,0.1965,0.151,0.74926,1.28878,0.95253,0.00995941,0.00995941,0.00995941
43,2116.68,0.81857,1.26482,0.96968,0.77027,0.18617,0.21076,0.16628,0.72066,1.21408,0.9382,0.00995842,0.00995842,0.00995842
44,2186.54,0.82314,1.18377,0.95064,0.75408,0.20535,0.24106,0.18441,0.66867,1.22935,0.91895,0.00995743,0.00995743,0.00995743
45,2261.78,0.78577,1.23481,0.94746,0.80495,0.26198,0.3224,0.24148,0.71019,1.2394,0.92982,0.00995644,0.00995644,0.00995644
46,2368.13,0.80982,1.2109,0.95991,0.76746,0.20242,0.26962,0.19992,0.73741,1.20513,0.94801,0.00995545,0.00995545,0.00995545
